ID;NOMBRE;APELLIDOS;FECHA_NACIMIENTO;NUMERO_PEDIDOS
1;NESTOR;MOREIRA;19/01/1937;3
2;EMILIANA;ORDO�EZ;09/09/2001;20
3;ANGELICA;CASTELLO;24/02/1972;15
4;VERONICA;BARROSO;30/06/1938;12
5;DOLORES;AGUIRRE;25/01/1968;30
6;ASIER;CHACON;31/12/2009;12
7;LEONOR;ARCE;05/04/1950;3
8;JUAN;CASTILLA;22/03/1998;19
9;LUIS;NOVOA;01/01/1978;27
10;CANDELARIA;BERNABE;01/08/2016;6
11;TATIANA;RIBAS;03/12/1954;15
12;CESAREO;DE MIGUEL;13/04/1983;22
13;CARLOS;PADRON;13/08/1958;16
14;BENITA;FRUTOS;31/07/1979;11
15;ILDEFONSO;TALAVERA;25/04/1960;13
16;LAUREANO;ROSELLO;26/12/2009;27
17;SEGUNDO;INIESTA;30/04/1995;15
18;JUSTO;VAQUERO;01/07/1950;14
19;PASCUAL;BARRANCO;25/12/2016;10
20;ARACELI;JAEN;25/12/2015;25
